coverage,width,winkler,n,n_missing,series,model
0.9426795580110497,4.736834149402564,6.324644902591259,1448,0,Gold,TCP
0.9426795580110497,4.743810018551114,6.324579926059469,1448,0,Gold,TCP-RM
0.9426795580110497,4.735183760087261,6.325224312236309,1448,0,Gold,CQR
0.9399171270718232,4.922529342504621,6.3765056082017635,1448,0,Gold,ACI-fixed
0.8294198895027625,2.990087082389018,7.971865319649311,1448,0,Gold,Reversed-sign-control
0.8100828729281768,2.8178675599447907,8.226468647184964,1448,0,Gold,QR-base
0.9288674033149171,3.9401250338057765,6.040531703551621,1448,0,Gold,GARCH-t
0.9357734806629834,4.045417947389207,6.007110867559267,1448,0,Gold,FHS
0.93853591160221,4.107765027612185,5.9841742029521106,1448,0,Gold,GARCH-EVT
0.9247237569060773,3.888470432889908,5.84318345550419,1448,0,Gold,RiskMetrics
0.9323204419889503,4.040868824747289,6.103184424880015,1448,0,Gold,Hist
0.8363259668508287,2.7308926000544766,7.149496291629636,1448,0,Gold,Fixed-coefficient-control
