p_target,exceed,n,rate,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,DQ,p_DQ,pinball,series,model,tau,FZ0,ES_ratio,note,evaluated_at_effective_level,order_statistic_k
0.01,66,1448,0.0455801104972375,99.06319150788649,0.0,6.489908905427569,0.0108488536533856,105.55310041331406,0.0,368.63523221594807,0.0,0.0745560355117816,N225,QR-base,0.01,,,,,
0.025,26,1448,0.0179558011049723,3.2634621206274588,0.070839415854975,0.4790543360916786,0.4888509760145182,3.742516456719138,0.1539298610013628,12.178521693289351,0.0581026648272706,0.1019783997334371,N225,CQR-1s,0.025,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.025,122,1448,0.0842541436464088,130.17403806029796,0.0,1.4646550925065185,0.2261908968007869,131.63869315280448,0.0,303.2647618585714,0.0,0.1247209479499413,N225,QR-base,0.025,,,,,
0.05,86,1448,0.0593922651933701,2.5431544645041946,0.110773279300099,0.7166984923773043,0.3972290034127358,3.259852956881499,0.1959439797042561,42.47202252227708,1.483469889151934e-07,0.1661309123363761,N225,CQR-1s,0.05,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.05,193,1448,0.1332872928176795,148.16316960161168,0.0,0.0808978234772439,0.7760843754258091,148.24406742508893,0.0,388.4373906635861,0.0,0.1973456399910609,N225,QR-base,0.05,,,,,
0.01,20,1448,0.0138121546961325,1.8998384497041696,0.1680964027659397,1.1785562439158357,0.2776501116749426,3.0783946936200053,0.2145532441781356,6.3311315272271065,0.3871365696573969,0.0493353727887056,N225,GARCH-t,0.01,1.570558786646593,1.14489594518817,,,
0.025,53,1448,0.0366022099447513,7.011388970885044,0.0080992820718378,1.837634890847312,0.1752284056543467,8.849023861732356,0.0119800569701707,16.066483648779933,0.0134015368552948,0.0951660819473415,N225,GARCH-t,0.025,1.298227146110809,1.0474563222657765,,,
0.05,93,1448,0.0642265193370165,5.683176427575184,0.0171283312669808,3.984346998968476,0.0459248985053145,9.66752342654366,0.0079565346987079,19.35595119142054,0.0036028718027389,0.1557746839782998,N225,GARCH-t,0.05,1.097562179142174,1.0635112159366462,,,
0.01,20,1448,0.0138121546961325,1.8998384497041696,0.1680964027659397,1.1785562439158357,0.2776501116749426,3.0783946936200053,0.2145532441781356,6.813061231330173,0.3384818425540397,0.0501715762053965,N225,FHS,0.01,1.5603617667102423,1.0865348489667763,,,
0.025,42,1448,0.0290055248618784,0.907142388716636,0.3408737656812514,0.4489186451166915,0.5028489203372898,1.3560610338333277,0.5076157491562492,7.669708519199517,0.2633134954540542,0.0936495672739239,N225,FHS,0.025,1.2676666482273742,1.083104299607852,,,
0.05,78,1448,0.0538674033149171,0.4452225819989959,0.5046124489016053,4.76303829474432,0.0290771772583241,5.208260876743315,0.0739674284784414,12.9806722549484,0.043343901759603,0.1550912738140969,N225,FHS,0.05,1.084635714735901,1.057862448768958,,,
0.01,19,1448,0.0131215469613259,1.2977494181043951,0.2546247278265576,1.3370018909185148,0.2475633835728097,2.63475130902291,0.2678372780013297,5.678324947197683,0.4601709445983468,0.0488487064875138,N225,GARCH-EVT,0.01,1.5235424397973585,1.1163425365705124,,,
0.025,39,1448,0.0269337016574585,0.2167539985727131,0.6415244174799324,0.7238744330338704,0.3948759581197757,0.9406284316065836,0.6248059135434099,10.177986506122132,0.117353972687108,0.0937995269687607,N225,GARCH-EVT,0.025,1.267696376453071,1.1112294763560868,,,
