coverage,width,winkler,n,n_missing,series,model
0.9482044198895028,28.5667827306317,40.43468122545193,1448,0,LTC-USD,TCP
0.9482044198895028,28.571933826808518,40.435447406540206,1448,0,LTC-USD,TCP-RM
0.9468232044198895,28.521587191077817,40.499385766475264,1448,0,LTC-USD,CQR
0.9461325966850829,28.926422423623674,41.272820375623205,1448,0,LTC-USD,ACI-fixed
0.8791436464088398,22.087749820590457,44.93018577065974,1448,0,LTC-USD,Reversed-sign-control
0.8598066298342542,17.415700424825832,45.06920212754079,1448,0,LTC-USD,QR-base
0.9502762430939227,24.996664865843385,35.37498449916048,1448,0,LTC-USD,GARCH-t
0.9502762430939227,25.326695503991726,35.65632218948646,1448,0,LTC-USD,FHS
0.9502762430939227,25.196573356527235,35.52857117887092,1448,0,LTC-USD,GARCH-EVT
0.9330110497237569,22.16948897461525,36.06171330804158,1448,0,LTC-USD,RiskMetrics
0.93853591160221,24.21453042992553,36.24945955238977,1448,0,LTC-USD,Hist
0.8535911602209945,15.339190197539185,42.494524566512425,1448,0,LTC-USD,Fixed-coefficient-control
