coverage,width,winkler,n,n_missing,series,model
0.955110497237569,2.038385276354757,2.533202300285713,1448,0,EURUSD=X,TCP
0.955110497237569,2.0397785841371427,2.5338654879487015,1448,0,EURUSD=X,TCP-RM
0.955110497237569,2.0323144202173973,2.5391641021915725,1448,0,EURUSD=X,CQR
0.9468232044198895,2.08867449791395,2.64927933197648,1448,0,EURUSD=X,ACI-fixed
0.8535911602209945,1.5245496664431728,3.2658927295206666,1448,0,EURUSD=X,Reversed-sign-control
0.830110497237569,1.358197308327362,3.4035359771626505,1448,0,EURUSD=X,QR-base
0.944060773480663,1.8476892546479933,2.5067405990052487,1448,0,EURUSD=X,GARCH-t
0.9399171270718232,1.8234145095083396,2.54429338132486,1448,0,EURUSD=X,FHS
0.9399171270718232,1.823963294831943,2.5379160827722864,1448,0,EURUSD=X,GARCH-EVT
0.9371546961325967,1.799161791307191,2.465249356508811,1448,0,EURUSD=X,RiskMetrics
0.9267955801104972,1.813656728311681,2.6584176778621784,1448,0,EURUSD=X,Hist
0.8308011049723757,1.2654175155636926,3.0319322101914628,1448,0,EURUSD=X,Fixed-coefficient-control
