p_target,exceed,n,rate,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,DQ,p_DQ,pinball,series,model,tau,FZ0,ES_ratio,note,evaluated_at_effective_level,order_statistic_k
0.01,89,1448,0.06146408839779,178.12727018019052,0.0,0.0558358265620881,0.813202946364555,178.1831060067526,0.0,636.9189006668537,0.0,0.0674058876909485,Gold,QR-base,0.01,,,,,
0.025,28,1448,0.0193370165745856,2.063677115609148,0.1508457794210169,0.3248267498690325,0.5687212818743612,2.38850386547818,0.3029304818184049,13.074389655101683,0.0418697259510174,0.0883645762701441,Gold,CQR-1s,0.025,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.025,136,1448,0.0939226519337016,167.6452733179236,0.0,0.3149375377699925,0.5746660020187402,167.9602108556936,0.0,431.5869122714613,0.0,0.1097369469584823,Gold,QR-base,0.025,,,,,
0.05,74,1448,0.0511049723756906,0.0369632123062966,0.8475399655506343,0.3977876036160523,0.5282340479114687,0.434750815922349,0.8046278488990873,43.27187692269693,1.0304931186144729e-07,0.1430637311560987,Gold,CQR-1s,0.05,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.05,180,1448,0.1243093922651933,121.31517046893065,0.0,0.6969533873523233,0.4038092977135339,122.01212385628295,0.0,285.88708956889906,0.0,0.1622433066130184,Gold,QR-base,0.05,,,,,
0.01,26,1448,0.0179558011049723,7.489889438121221,0.0062046365505352,0.4790543360916786,0.4888509760145182,7.9689437742128995,0.01860226582551,26.220513254139124,0.0002025366188391,0.0412748993934269,Gold,GARCH-t,0.01,1.4193429925791392,0.9531942211947896,,,
0.025,58,1448,0.0400552486187845,11.418897473061342,0.0007270082487458,0.1962488015814187,0.6577658966907094,11.61514627464276,0.0030047132575706,27.96877620592391,9.5243505538134e-05,0.0808624862095923,Gold,GARCH-t,0.025,1.17611389410208,0.9813384539652764,,,
0.05,93,1448,0.0642265193370165,5.683176427575184,0.0171283312669808,0.7162363456584444,0.3973812378137972,6.399412773233628,0.0407741740641851,12.279697758018886,0.0560121726839696,0.1284501927244995,Gold,GARCH-t,0.05,0.9343813411712534,1.0357966328899224,,,
0.01,26,1448,0.0179558011049723,7.489889438121221,0.0062046365505352,0.4790543360916786,0.4888509760145182,7.9689437742128995,0.01860226582551,49.99557563856833,4.710679624153613e-09,0.042236217218806,Gold,FHS,0.01,1.463028790255511,1.0122935510788509,,,
0.025,48,1448,0.0331491712707182,3.5845234368507306,0.0583201422222887,0.1038000555522558,0.7473162137819589,3.6883234924029855,0.1581578417504413,24.65287629992883,0.0003958518566166,0.0804479393586533,Gold,FHS,0.025,1.1754112929061131,1.0578716905860035,,,
0.05,81,1448,0.055939226519337,1.0372205808864905,0.3084687734416099,0.0521452324438769,0.8193715867207758,1.0893658133303674,0.5800256764586916,8.952225516061839,0.1762827556400517,0.1286630477171509,Gold,FHS,0.05,0.9333261909609968,1.0526023498681398,,,
0.01,24,1448,0.0165745856353591,5.27706398029683,0.021608155698751,0.6696363855336926,0.4131784082982185,5.946700365830523,0.0511317224440419,29.586234871927115,4.710577786781744e-05,0.0411324323563534,Gold,GARCH-EVT,0.01,1.4334039900841804,1.0605344271792374,,,
0.025,44,1448,0.0303867403314917,1.614658832887228,0.2038381483494517,0.0990418120480853,0.7529825410208136,1.7137006449353134,0.4244970076094738,23.31926330165403,0.0006963055678859,0.0798745227434744,Gold,GARCH-EVT,0.025,1.1639022765620215,1.0804235506622712,,,
0.05,79,1448,0.0545580110497237,0.6158823335703794,0.4325815650686512,0.1170624075631394,0.7322426462169794,0.7329447411335188,0.6931752882583282,8.222149923596977,0.2222756838121512,0.128339922408514,Gold,GARCH-EVT,0.05,0.9299266635383884,1.0623814810706145,,,
0.01,40,1448,0.0276243093922651,30.70592111883959,3.002474335822569e-08,0.0110321970360587,0.9163486187488028,30.71695331587565,2.137461677653718e-07,64.84548311832934,4.638955886093754e-12,0.0413930951483292,Gold,RiskMetrics,0.01,1.5414176080464617,1.1450306719240002,,,
0.025,57,1448,0.0393646408839779,10.46306679480395,0.0012178492780069,0.9303455131882288,0.3347731597880813,11.39341230799218,0.0033570047232625,24.931718991613675,0.0003515383007788,0.0789784570527786,Gold,RiskMetrics,0.025,1.185748180964008,1.1857139970612036,,,
