coverage,width,winkler,n,n_missing,series,model
0.9357734806629834,12.93965637420542,18.32527057852526,1448,0,WTI,TCP
0.9357734806629834,12.946564364598325,18.324774488072425,1448,0,WTI,TCP-RM
0.9350828729281768,12.932243110888862,18.376860865597923,1448,0,WTI,CQR
0.944060773480663,13.590744726997913,17.646443463813657,1448,0,WTI,ACI-fixed
0.8446132596685083,8.035404951840318,23.139565804063547,1448,0,WTI,Reversed-sign-control
0.830110497237569,7.3451795467219,24.481097273692814,1448,0,WTI,QR-base
0.9516574585635359,10.910865244456957,16.267811670387342,1448,0,WTI,GARCH-t
0.9509668508287292,10.62363459309888,16.176564927922957,1448,0,WTI,FHS
0.9530386740331491,10.793074901620463,16.146551849472395,1448,0,WTI,GARCH-EVT
0.9419889502762431,10.74496290836946,16.35536154423608,1448,0,WTI,RiskMetrics
0.9426795580110497,11.398823379257943,20.298554269474423,1448,0,WTI,Hist
0.8425414364640884,7.3875936326585965,18.50202739825535,1448,0,WTI,Fixed-coefficient-control
