coverage,width,winkler,n,n_missing,series,model
0.9544198895027625,19.746059629924922,25.80922534951456,1448,0,NatGas,TCP
0.9544198895027625,19.74331305783363,25.808408235083018,1448,0,NatGas,TCP-RM
0.9516574585635359,19.615609602442696,25.771708646789495,1448,0,NatGas,CQR
0.9447513812154696,20.38236235659994,26.53920150797317,1448,0,NatGas,ACI-fixed
0.8294198895027625,13.621222745147142,31.741332019858973,1448,0,NatGas,Reversed-sign-control
0.8169889502762431,12.854826513590087,31.938072497238114,1448,0,NatGas,QR-base
0.955110497237569,17.325572187931165,23.135796788256105,1448,0,NatGas,GARCH-t
0.9419889502762431,16.961914533192328,23.33344854957213,1448,0,NatGas,FHS
0.9447513812154696,17.172447737929907,23.3159892210726,1448,0,NatGas,GARCH-EVT
0.9412983425414365,16.85334151264683,23.39551463565862,1448,0,NatGas,RiskMetrics
0.9426795580110497,16.80317162030061,24.918693116737828,1448,0,NatGas,Hist
0.8383977900552486,11.746893912667915,27.655604682397772,1448,0,NatGas,Fixed-coefficient-control
