coverage,width,winkler,n,n_missing,series,model
0.949585635359116,5.805921699774738,7.408518440816369,1448,0,N225,TCP
0.9488950276243094,5.813264003310444,7.408400862644385,1448,0,N225,TCP-RM
0.949585635359116,5.798778115783087,7.410642823187205,1448,0,N225,CQR
0.9419889502762431,5.714475505080993,7.1825348707650685,1448,0,N225,ACI-fixed
0.8535911602209945,3.9577799611153943,9.207606081538165,1448,0,N225,Reversed-sign-control
0.8280386740331491,3.5741021593833815,9.576644189347027,1448,0,N225,QR-base
0.9392265193370166,4.96952599921377,6.975234091540818,1448,0,N225,GARCH-t
0.93853591160221,4.957496732412117,7.031780267585957,1448,0,N225,FHS
0.9406077348066298,5.015790099607093,7.0377786553794275,1448,0,N225,GARCH-EVT
0.9261049723756906,4.980288039946192,7.099000947211471,1448,0,N225,RiskMetrics
0.9330110497237569,5.06727040141834,8.063855983765945,1448,0,N225,Hist
0.8218232044198895,3.475001985886135,8.808523788139222,1448,0,N225,Fixed-coefficient-control
