coverage,width,winkler,n,n_missing,series,model
0.9502762430939227,4.556416195602349,6.165502844806064,1448,0,FTSE,TCP
0.9502762430939227,4.559084547058443,6.165511304622618,1448,0,FTSE,TCP-RM
0.9502762430939227,4.547513047185545,6.185486231388016,1448,0,FTSE,CQR
0.944060773480663,4.533553045478109,5.945096610449951,1448,0,FTSE,ACI-fixed
0.8535911602209945,3.1443281558884286,7.763648109700847,1448,0,FTSE,Reversed-sign-control
0.8328729281767956,2.840033146508816,8.2028952676328,1448,0,FTSE,QR-base
0.9516574585635359,3.838456195911758,5.47692254894333,1448,0,FTSE,GARCH-t
0.9454419889502762,3.7248190433932225,5.460793367164566,1448,0,FTSE,FHS
0.9488950276243094,3.7884244515754135,5.449638973716827,1448,0,FTSE,GARCH-EVT
0.93853591160221,3.734179840509966,5.609288638864654,1448,0,FTSE,RiskMetrics
0.9426795580110497,4.007002332005998,6.522189214872762,1448,0,FTSE,Hist
0.8335635359116023,2.5916574287324954,6.515239187111381,1448,0,FTSE,Fixed-coefficient-control
