coverage,width,winkler,n,n_missing,series,model
0.9482044198895028,2.595140363771422,3.3568796415907936,1448,0,GBPUSD=X,TCP
0.9488950276243094,2.6017260008053005,3.35725626136548,1448,0,GBPUSD=X,TCP-RM
0.9482044198895028,2.5917942564678165,3.357148903426167,1448,0,GBPUSD=X,CQR
0.9426795580110497,2.5602053808273295,3.336732305289575,1448,0,GBPUSD=X,ACI-fixed
0.8466850828729282,1.8130460829533512,4.203566461220022,1448,0,GBPUSD=X,Reversed-sign-control
0.8273480662983426,1.6327176220002684,4.3797597465261555,1448,0,GBPUSD=X,QR-base
0.9475138121546961,2.2615739732174083,3.0783589915272875,1448,0,GBPUSD=X,GARCH-t
0.9412983425414365,2.2061278003693965,3.101780107662015,1448,0,GBPUSD=X,FHS
0.9406077348066298,2.2320487181675386,3.098158246286342,1448,0,GBPUSD=X,GARCH-EVT
0.9357734806629834,2.199754710615966,3.054128660178223,1448,0,GBPUSD=X,RiskMetrics
0.9316298342541437,2.3046148323995177,3.374219937272072,1448,0,GBPUSD=X,Hist
0.8314917127071824,1.5373775275758392,3.7004739539888174,1448,0,GBPUSD=X,Fixed-coefficient-control
